"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,1.41452021448074,0.215712310414882,1.02369529300198,1.07936573767539,1.26367510465099,1.40357018154541,1.5534349918025,1.78703070781124,1.86755481359553
3,9,1.23793714655488,0.18662604678026,0.899487025803796,0.947770791614568,1.10747835792127,1.22857157056795,1.35819177879665,1.56005405878351,1.62959563937719
4,10,1.35883499128295,0.186650340715837,1.01786065358316,1.0670733994921,1.22872260882722,1.35029848061481,1.47964565826718,1.67971821159431,1.74830996156479
5,11,0.973168358125956,0.150163137735944,0.701374153864352,0.740028053235022,0.868122291772246,0.965455792084339,1.0698115038127,1.2326201427629,1.28877912706184
6,12,1.269685697102,0.168173978911428,0.961647547789739,1.00629398064721,1.15257494050446,1.26226840342675,1.37871402546199,1.55838074865186,1.61986630449257
7,13,1.24037639007699,0.162869399184429,0.941869796412527,0.985177105764701,1.12698730300911,1.23325511941976,1.34600556136657,1.51986911932235,1.57934369980673
8,14,1.16711081717209,0.150673358602868,0.890628507654443,0.930815976207318,1.06226209531189,1.16063331111047,1.26490102481082,1.4255029039737,1.48039645514551
9,15,1.53601404355697,0.167592871978929,1.22518495693284,1.2711285139783,1.41990012569577,1.52992306847265,1.64548989617596,1.82167770154989,1.8814524072863
10,16,1.48895292987512,0.154397226400784,1.20177718096781,1.2444143398333,1.38211099754775,1.48361959494123,1.58998232907567,1.7516850036804,1.80643344543189
11,17,1.22430308901087,0.12834183637619,0.985732476278536,1.02112023156793,1.13546869445659,1.21982139443064,1.30825313778728,1.44277426764242,1.488339250214
12,18,1.49212087392185,0.134540008326877,1.24009832822696,1.27793039832489,1.39930661963591,1.48807913988177,1.58052997163174,1.72009863713258,1.76710989350948
13,19,1.26971255414951,0.11639435900467,1.05185157356045,1.08451587619261,1.18938850961994,1.26615771290217,1.34616214018262,1.46703563321861,1.50777325199913
14,20,1.39307228915663,0.114509836790253,1.17768088021634,1.21022137901126,1.31422228017134,1.38993599833297,1.4685038886577,1.58662173493192,1.62628545437451
15,21,1.30380289864825,0.104723968927338,1.10662712212662,1.13646027066958,1.23172305778585,1.30100009594535,1.37282779430347,1.48070645028037,1.51690546995259
16,22,1.0377936059968,0.0880245047899147,0.872445397867445,0.897373327560435,0.977143964013997,1.03530595610421,1.09573185471627,1.1866997911614,1.21727763445561
17,23,1.14275919206925,0.0903430466008165,0.972548801436277,0.998327941215997,1.08059600727863,1.14037932752415,1.20232840529473,1.29530863097843,1.32649308589301
18,24,1.20583791875147,0.0914143367078748,1.03332049998639,1.05951639606167,1.1429858118426,1.20352867280534,1.26617299598874,1.3600367149586,1.39147763660853
19,25,1.34547712688884,0.0932920532877248,1.16882978615605,1.19578988898154,1.28143280117556,1.34332152892895,1.40717184375239,1.5025174802143,1.53437380748873
20,26,1.47601045458788,0.0927959822212899,1.29972084345835,1.32676261752941,1.41240587569613,1.47406623293434,1.53749578261252,1.63189033670237,1.66334836440554
21,27,1.26726140786708,0.0798299650315686,1.11561367930057,1.13887328098783,1.21254239423778,1.26558553091982,1.32015367383657,1.4013662143784,1.42843252866715
22,28,1.35725192202945,0.0778437364349041,1.20895270637807,1.23179836506002,1.30396757444127,1.35576399765151,1.40891436890416,1.48778100500488,1.51400653735133
23,29,1.37532277983608,0.0742604499569044,1.23360917119237,1.25549688743694,1.32453308470173,1.37398644852825,1.4246558042532,1.4997070834308,1.5246303690718
24,30,1.37663938033624,0.069619645923018,1.24355212297769,1.26416154242391,1.32906392566486,1.37546595276208,1.42293572702058,1.49311993481,1.51639491417034
