"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,1.90041927925017,0.330820533464885,1.30816118794314,1.39091623513766,1.66807858871308,1.8812579784634,2.11188678453747,2.47529344606472,2.60152726246344
3,10,2.25454989087962,0.325416246600197,1.66232711271166,1.74728873171556,2.02737307628308,2.23891277082665,2.46468868837993,2.81515638661689,2.93561354399537
4,11,2.41723304227475,0.306988903357949,1.85327871287058,1.93539723904837,2.2037057252359,2.40424966033607,2.61661223510244,2.94335999409442,3.05495572554483
5,12,2.46425525429271,0.284547686883569,1.93829308004522,2.01562568104136,2.26683322857437,2.45331170451721,2.64975118795335,2.9502168085577,3.05239818519354
6,13,2.36656634150562,0.256690159960519,1.89032913886012,1.96075909325843,2.18874837731475,2.35729218717619,2.53427711504195,2.8040104667755,2.89549992628806
7,14,2.22850286141856,0.228639569337526,1.80299189318092,1.86622466958689,2.07032479405736,2.22068844943571,2.37816434894571,2.61743814725211,2.69841655663112
8,15,2.09797278882915,0.202818684798603,1.71933933015686,1.77587875582011,1.95784657410915,2.09144068007002,2.23097974938738,2.44234949285567,2.51372328258075
9,16,2.13289665935925,0.18706741194442,1.782029559198,1.83480401204753,2.00391909648602,2.12743019354771,2.25591616374251,2.44963664083838,2.51482620502735
10,17,2.16117685213087,0.173032629689003,1.83534513052781,1.88465433489518,2.04208846280341,2.15656071116953,2.27523382361745,2.45344595109764,2.51323959182523
11,18,1.96231096710584,0.15230486887185,1.67514807085626,1.71869000293156,1.85754874928276,1.95837199338488,2.06277981431309,2.21936853295923,2.27185701815802
12,19,1.87356234057475,0.138120848236245,1.6126199140088,1.65230813566842,1.778644132721,1.8701693011888,1.9647821792715,2.10639082410485,2.15378580313596
13,20,1.82506005749951,0.126850442836161,1.58489090707033,1.6215409656329,1.73797464869177,1.82212199523926,1.90894297056314,2.03860138630941,2.08192495233041
14,21,1.8347795571761,0.118682023458405,1.60952139580308,1.64402584873098,1.75339633841129,1.83222122532885,1.91337414467801,2.03426014736843,2.07457573758455
15,22,1.8179275416555,0.110635546941626,1.60753180700922,1.63985571873973,1.7421323151044,1.81568367992028,1.89127688765813,2.00365351906817,2.04107435992347
16,23,1.88539710298816,0.105894451288733,1.68353723143786,1.71466249571601,1.81293302209419,1.88341493238341,1.95570052691485,2.06289317714667,2.09852103713262
17,24,1.95249595633932,0.101368539268488,1.7588479323286,1.78880468587482,1.88320145339684,1.95074197270931,2.01987851583733,2.1221703010912,2.15611138491024
18,25,1.98512425489864,0.0959546026250052,1.80148751426988,1.82997347841317,1.91958882335856,1.98357842221358,2.04897462524606,2.14554806495445,2.17754557569118
19,26,2.02566524798127,0.090681230499414,1.85180890453151,1.8788511549954,1.9637865438821,2.02431225899531,2.08606909185228,2.17709455198245,2.20721032149276
20,27,2.0316491818928,0.0846520492455334,1.86909982874851,1.89444284314347,1.97392951419255,2.03047358002244,2.08808734661238,2.17286563692193,2.20087923694042
21,28,1.97896198792791,0.0776810529879604,1.82961828227043,1.85294490649704,1.92602765199871,1.97794566476916,2.03078844269513,2.10844586370224,2.13408126183944
22,29,1.98514081156769,0.0722945643472131,1.84595599116041,1.86774233162786,1.93591232975839,1.98426327632565,2.0334126983381,2.10553266108638,2.12931250883945
