"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,1.5625,0.264110704602661,1.08833850011249,1.15489459930721,1.37719486524162,1.5476445063324,1.73162176762396,2.02078628202859,2.12105321853585
3,10,1.59392789373814,0.245948413601816,1.14876302590048,1.21207327216384,1.42187559272511,1.58129567646208,1.75221726305687,2.01887742396058,2.11085880704876
4,11,1.6239038648912,0.229654686971922,1.20529274886203,1.26549959670376,1.46367683901168,1.61309076381923,1.77234883192726,2.01919638525502,2.10394928850011
5,12,1.79180887372014,0.225746698896296,1.37687513639042,1.43734628514619,1.63482412827925,1.7823373727871,1.93847236467119,2.1785822346979,2.26055750499847
6,13,1.67394468704512,0.201519259168318,1.30242888298993,1.3568288015661,1.53397794173883,1.66586497961922,1.80510654931178,2.01862322839719,2.09136834439664
7,14,1.72449189078218,0.188157491067782,1.37552226934482,1.42710336776701,1.59413012058971,1.71765351766708,1.84740106656076,2.04520813928677,2.11231754870183
8,15,1.69345083808536,0.1710643673166,1.37482524752631,1.42223580076336,1.5751469021885,1.68769429722364,1.80548092828462,1.98430297604207,2.04478614018341
9,16,1.66249816095336,0.156394671365818,1.37013378639399,1.41388339587757,1.55451024991045,1.65759661671249,1.76514388443342,1.92783328706094,1.98271448127314
10,17,1.66541447533183,0.144409749495001,1.39441673746763,1.43521049632247,1.5658711122546,1.66124236907171,1.76041052095677,1.90985042656719,1.96011968960753
11,18,1.68641263742128,0.134163785782651,1.43370710689089,1.471965343396,1.59408646989151,1.68285614233363,1.77486235330322,1.91299184368055,1.95932781577842
12,19,1.70247632920612,0.124497399227762,1.46719997528204,1.50300125610112,1.61693238979352,1.69944257560513,1.78471350950527,1.91230008665504,1.9549920872352
13,20,1.72427124410423,0.115465742852146,1.50537267676236,1.53884333924677,1.64504997457728,1.72169454411662,1.80068388069214,1.91848870108216,1.95781215383026
14,21,1.66013071895425,0.104165865689603,1.46222862723173,1.49258855162927,1.58873509420491,1.65795257873556,1.72915211479908,1.83510286365658,1.87041038523208
15,22,1.70665484568072,0.0972456850157048,1.52135809445508,1.54991149999756,1.64009587376256,1.70480817241705,1.77120086334245,1.86969746049055,1.90244565775368
16,23,1.70502583372475,0.0894906476432957,1.53411769187159,1.56054511867503,1.64384234390045,1.70346040928898,1.76450292291149,1.85484642391199,1.88482984361914
17,24,1.7666999002991,0.083938445383247,1.6059928049236,1.63093759561449,1.70938307456737,1.7653707329722,1.82256784188531,1.90699616336474,1.93496032841494
18,25,1.72616054968996,0.076063721923313,1.58027797592832,1.60298116565074,1.67426558454795,1.72504342232066,1.77683775979633,1.8531505906732,1.87839151035364
19,26,1.72054516783059,0.0696058070190824,1.58680669746698,1.60767692053689,1.67309918086428,1.71960660907608,1.76696804595551,1.83661494779748,1.85961727988712
20,27,1.75525749296241,0.0644375297323409,1.63121753026928,1.65062899303676,1.71137594113895,1.75446903058968,1.79827954789523,1.86257552537663,1.88377814601372
21,28,1.73141219551027,0.0587003709749746,1.61825798305927,1.63600326211226,1.69146612342238,1.73074886439439,1.770635171961,1.82908382249108,1.84833600926943
22,29,1.70662740308197,0.0534365767820748,1.60348727480746,1.6196935023234,1.6702874354245,1.70606971412212,1.74235943293281,1.79546363902953,1.81293679249565
23,30,1.71239622906993,0.0490861503940127,1.61752870241323,1.63246451060684,1.67903744100856,1.71192723076193,1.74524375925859,1.79392774834373,1.80992900679421
24,31,1.74290127123678,0.0455048544664502,1.65484395921045,1.6687339435364,1.71199667118213,1.74250526331825,1.77337417925332,1.8184194211425,1.83320904425383
25,32,1.69978765174887,0.0412623300694058,1.61986782024977,1.63249135946255,1.67177763736085,1.6994537825125,1.72743371127948,1.76822280449939,1.78160482048582
26,33,1.71602780100158,0.0380682109889443,1.64221854390693,1.65389494069392,1.69020005079381,1.71574630858894,1.7415486922516,1.77912085884519,1.79143674634122
27,34,1.72349994307184,0.0350206501177396,1.65553719226036,1.66630348376779,1.69975136165696,1.72326274822355,1.74698995446197,1.78150549635137,1.7928106456353
28,35,1.70859526184838,0.0320442984404925,1.64636073770743,1.65623095404253,1.68687390501746,1.70839493828836,1.73009824234014,1.76164289197466,1.77196820322049
