"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,1.58885358103153,0.19707303222436,1.22624365018906,1.27917662207063,1.45186641633951,1.58071308407385,1.71696980552751,1.92630069815313,1.99771623585639
3,10,1.5160827699242,0.176241042143877,1.19045106009713,1.23829786063977,1.39378405893884,1.50925906410068,1.63094515570998,1.81714556429573,1.88048637949153
4,11,1.29662522202487,0.151758503469228,1.01634719222911,1.05750263649831,1.19129729090861,1.29070938919664,1.39550623645045,1.55592866124584,1.61051659049126
5,12,1.18684843624699,0.137968328260507,0.931931295001459,0.969387627551355,1.09110825848925,1.18150657447882,1.2767671700113,1.42253207687689,1.47211772546883
6,13,1.05450764889351,0.125147033613194,0.823579222553082,0.857441842014114,0.967618234793825,1.04956106210432,1.13600645426448,1.26844792582575,1.31354208869804
7,14,0.901158632527535,0.113535315880329,0.692475036410917,0.72288793285281,0.822205926910288,0.896395108384984,0.974920445456142,1.09567946462563,1.13690747926972
8,15,0.91337234194377,0.114171542742971,0.70340799980356,0.734033135113663,0.833994142596166,0.908619624256655,0.987571393977478,1.10892479557216,1.15034062062067
9,16,0.861439626222806,0.112149886813675,0.655767756295714,0.685635036934954,0.783379928676006,0.856577654248434,0.934201286701703,1.05383028214619,1.09473572411585
10,17,0.777794723196584,0.108913046035425,0.579119259391349,0.607728224675829,0.701829725018462,0.772717046810862,0.84822698457424,0.96518337800438,1.00531899747349
11,18,0.705467372134039,0.106353207963938,0.512593672569253,0.540109303292554,0.631122386974438,0.700130180097752,0.773997280644051,0.889033211661732,0.928663104222922
12,19,0.726266643610583,0.112065376074838,0.523429115207984,0.55227616672172,0.647871725199837,0.720510826124432,0.798390539193299,0.919893137149598,0.961804073417515
13,20,0.705299275638582,0.115950486662185,0.496595779014602,0.526012496015619,0.624021072048949,0.698955505409023,0.779666408556822,0.906228237411773,0.950041450423869
14,21,0.679261303332626,0.120077568446028,0.46461422864115,0.494533063307302,0.594884411657631,0.672198917677053,0.755945025792794,0.888083854199968,0.934027287269131
15,22,0.730615130803677,0.131222351233326,0.496417534271549,0.52897741650071,0.638356319709749,0.722774249060993,0.81433295152259,0.959003242857637,1.00935341491416
16,23,0.6282722513089,0.128245536271371,0.402545886248337,0.433220908762909,0.537688832093394,0.619568122388123,0.709376505134374,0.853020535387039,0.903436986775734
17,24,0.707755824240637,0.144470052656041,0.453472511196888,0.488028272330969,0.605712574047999,0.697950524188331,0.799120686998912,0.960937317952961,1.01773202284969
18,25,0.727513227513228,0.155106341264002,0.455928666409709,0.492517808876686,0.617776635476411,0.716520485774866,0.825279355400652,1.00001465909948,1.06153210102326
19,26,0.746547219111609,0.166933033034699,0.456010436185291,0.494761164551943,0.628224989230766,0.734142307700846,0.851362702854463,1.04065844118863,1.10753466112675
20,27,0.701030927835051,0.170024974252275,0.408376349262156,0.446686200258804,0.580125354234398,0.687334172525345,0.80702637069279,1.00211066736689,1.07146381845612
21,28,0.774487471526196,0.187840802989415,0.451167492920605,0.493491587985239,0.640912976773765,0.759355520899299,0.891589498373583,1.10711542977891,1.18373565364742
22,29,0.905888273779567,0.213519913795636,0.536886803241043,0.585521112704926,0.754228460653502,0.889168918862026,1.03934613823373,1.28330297347032,1.36983627659319
23,30,0.932017543859649,0.226047457544828,0.542934565219698,0.593867344094078,0.771274114045183,0.913807767748883,1.07293802024672,1.33230173704206,1.4245064472347
24,31,1.04046242774566,0.245239346076259,0.616643975745637,0.67250315083508,0.866272804230351,1.021259330508,1.19374611368232,1.47394393542516,1.57333218589056
